Station;RoundingTrips
E 161 St & River Ave;0
E 163 St & Tiffany St;0
E 163 St & Union Ave;0
E 165 St & Clay Ave;0
E 165 St & Fox St;0
E 165 St & Jerome Ave;0
E 167 St & Bryant Ave;0
E 167 St & Clay Ave;0
E 167 St & Franklin Ave;0
E 169 St & Fox St;0
E 169 St & Webster Ave;0
E 17 St & 2 Ave;0
E 17 St & Broadway;0
E 170 St & Clay Ave;0
E 170 St & Sheridan Ave;0
E 170 St & Webster Ave;0
E 171 St & 3 Ave;0
E 171 St & Webster Ave;0
E 174 St & Longfellow Ave;0
E 174 St & Walton Ave;0
E 182 St & Morris Ave;0
E 188 St & Creston Ave;0
E 19 St & 3 Ave;0
E 2 St & 2 Ave;0
E 2 St & Avenue A;0
E 2 St & Avenue B;0
E 2 St & Avenue C;0
E 20 St & 2 Ave;0
E 20 St & FDR Dr;0
E 20 St & Park Ave;0
E 201 St & Briggs Ave;0
E 22 St & 2 Ave;0
E 23 St & 1 Ave;0
E 25 St & 1 Ave;0
E 25 St & 2 Ave;0
E 26 St & 3 Ave;0
E 27 St & 1 Ave;0
E 27 St & Park Ave S;0
E 3 St & 1 Ave;0
E 3 St & Church Ave;0
E 30 St & Park Ave S;0
E 31 St & 3 Ave;0
E 32 St & Park Ave;0
E 33 St & 1 Ave;0
E 33 St & 5 Ave;0
E 35 St & Madison Ave;0
E 39 St & 2 Ave;0
E 39 St & Lexington Ave;0
E 4 St & 2 Ave;0
E 4 St & Ave B;0
E 40 St & 5 Ave;0
E 40 St & Park Ave;0
E 41 St & Madison Ave (SE corner);0
E 41 St & Madison Ave (SW corner);0
E 43 St & 2 Ave;0
E 44 St & 2 Ave;0
E 44 St & Lexington Ave;0
E 45 St & 3 Ave;0
E 47 St & 1 Ave;0
E 47 St & 2 Ave;0
E 47 St & Park Ave;0
E 48 St & 3 Ave;0
E 48 St & 5 Ave;0
E 5 St & Ave A;0
E 5 St & Avenue C;0
E 5 St & Cooper Sq;0
E 50 St & Park Ave;0
E 51 St & 1 Ave;0
E 51 St & 2 Ave;0
E 51 St & Lexington Ave;0
E 53 St & 3 Ave;0
E 53 St & Lexington Ave;0
E 53 St & Madison Ave;0
E 54 St & 1 Ave;0
E 55 St & 2 Ave;0
E 56 St & 3 Ave;0
E 56 St & Madison Ave;0
E 58 St & 1 Ave (NE Corner);0
E 58 St & 1 Ave (NW Corner);0
E 58 St & Madison Ave;0
E 59 St & Madison Ave;0
E 6 St & 2 Ave;0
E 6 St & Avenue B;0
E 6 St & Avenue D;0
E 60 St & York Ave;0
E 63 St & 3 Ave;0
E 65 St & 2 Ave;0
E 66 St & Madison Ave;0
E 67 St & Park Ave;0
E 68 St & 3 Ave;0
E 68 St & Madison Ave;0
E 7 St & Ave B;0
E 7 St & Ave C;0
E 7 St & Avenue A;0
E 72 St & Park Ave;0
E 72 St & York Ave;0
E 74 St & 1 Ave;0
E 75 St & 3 Ave;0
E 76 St & Park Ave;0
E 77 St & 3 Ave;0
E 78 St & 2 Ave;0
E 8 St & Caton Ave;0
E 80 St & 2 Ave;0
E 81 St & 3 Ave;0
E 81 St & Park Ave;0
E 81 St & York Ave;0
E 82 St & East End Ave;0
E 84 St & 1 Ave;0
E 84 St & Park Ave;0
E 85 St & 3 Ave;0
E 85 St & York Ave;0
E 88 St & 1 Ave;0
E 88 St & Park Ave;0
E 89 St & 3 Ave;0
E 89 St & York Ave;0
E 9 St & 5 Ave;0
E 9 St & Avenue C;0
E 91 St & 2 Ave;0
E 91 St & Park Ave;0
E 93 St & 2 Ave;0
E 95 St & 3 Ave;0
E 97 St & 3 Ave;0
E 97 St & Madison Ave;0
E 98 St & Park Ave;0
E Burnside Ave & Ryer Ave;0
E Fordham Rd & Webster Ave;0
E Houston St & Columbia St;0
E Mosholu Pkwy & E 204 St;0
E Mosholu Pkwy & Van Cortlandt Ave E;0
E Tremont Ave & E 176 St;0
E Tremont Ave & Jerome Ave;0
East End Ave & E 86 St;0
Eastern Pkwy & Franklin Ave;0
Eastern Pkwy & Kingston Ave;0
Eastern Pkwy & Rochester Ave;0
Eastern Pkwy & Troy Ave;0
Eastern Pkwy & Washington Ave;0
Edgecombe Ave & W 141 St;0
Edgecombe Ave & W 145 St;0
Edgecombe Ave & W 150 St;0
Edgecombe Ave & W 167 St;0
Eldert St & Bushwick Ave;0
Emerson Pl & Myrtle Ave;0
Engert Ave & McGuinness Blvd;0
Evergreen Ave & Noll St;0
Faile St & Garrison Ave;0
Fairview Ave & Linden St;0
FDR Drive & E 35 St;0
Featherbed Ln & Jerome Ave;0
