J;F;M;A;M;J;J;A;S;O;N;D;Station
0;0;0;0;0;0;0;0;0;53;39;0;57 St & 37 Ave
0;0;0;0;0;0;0;0;0;353;298;0;57 St & 4 Ave
0;0;0;0;0;0;0;0;0;177;132;0;57 St & 43 Ave
0;0;0;0;0;0;0;0;0;167;155;0;58 St & 2 Ave
0;0;0;0;0;0;0;0;0;170;200;0;58 St & 32 Ave
0;0;0;0;0;0;0;0;0;245;149;0;58 St & Pier 4
0;0;0;0;0;0;0;0;0;431;427;0;59 St & 4 Ave
0;0;0;0;0;0;0;0;0;233;208;0;59 St & 5 Ave
0;0;0;0;0;0;0;0;0;1320;1073;0;6 Ave & 12 St
0;0;0;0;0;0;0;0;0;1509;1150;0;6 Ave & 21 St
0;0;0;0;0;0;0;0;0;144;114;0;6 Ave & 55 St
0;0;0;0;0;0;0;0;0;118;145;0;6 Ave & 60 St
0;0;0;0;0;0;0;0;0;2234;2026;0;6 Ave & 9 St
0;0;0;0;0;0;0;0;0;4581;3542;0;6 Ave & Broome St
0;0;0;0;0;0;0;0;0;2351;1773;0;6 Ave & Canal St
0;0;0;0;0;0;0;0;0;10318;7769;0;6 Ave & W 33 St
0;0;0;0;0;0;0;0;0;8369;5224;0;6 Ave & W 34 St
0;0;0;0;0;0;0;0;0;6332;4499;0;6 Ave & W 45 St
0;0;0;0;0;0;0;0;0;2738;2114;0;6 Ave & Walker St
0;0;0;0;0;0;0;0;0;70;650;0;6 St & 7 Ave
0;0;0;0;0;0;0;0;0;184;102;0;60 St & 37 Ave
0;0;0;0;0;0;0;0;0;572;443;0;61 St & 39 Ave
0;0;0;0;0;0;0;0;0;130;113;0;61 St & Laurel Hill Blvd
0;0;0;0;0;0;0;0;0;209;209;0;61 St & Queens Blvd
0;0;0;0;0;0;0;0;0;359;357;0;61 St & Woodside Ave
0;0;0;0;0;0;0;0;0;208;196;0;62 St & 34 Ave
0;0;0;0;0;0;0;0;0;168;167;0;62 St & 4 Ave
0;0;0;0;0;0;0;0;0;142;100;0;62 St & 43 Ave
0;0;0;0;0;0;0;0;0;328;295;0;62 St & Northern Blvd
0;0;0;0;0;0;0;0;0;84;72;0;63 St & 5 Ave
0;0;0;0;0;0;0;0;0;46;26;0;64 St & 3 Ave
0;0;0;0;0;0;0;0;0;144;115;0;65 Pl & Woodside Ave
0;0;0;0;0;0;0;0;0;38;14;0;65 St & 2 Ave
0;0;0;0;0;0;0;0;0;242;204;0;65 St & 35 Ave
0;0;0;0;0;0;0;0;0;141;138;0;65 St & Broadway
0;0;0;0;0;0;0;0;0;168;123;0;65 St & Roosevelt Ave
0;0;0;0;0;0;0;0;0;211;137;0;67 St & Erik Pl
0;0;0;0;0;0;0;0;0;185;149;0;69 St & 43 Ave
0;0;0;0;0;0;0;0;0;655;532;0;7 Ave & 17 St
0;0;0;0;0;0;0;0;0;693;590;0;7 Ave & 20 St
0;0;0;0;0;0;0;0;0;274;241;0;7 Ave & 22 St
0;0;0;0;0;0;0;0;0;336;263;0;7 Ave & 40 St
0;0;0;0;0;0;0;0;0;882;553;0;7 Ave & 41 St
0;0;0;0;0;0;0;0;0;234;193;0;7 Ave & 62 St
0;0;0;0;0;0;0;0;0;8803;1585;0;7 Ave & Central Park South
0;0;0;0;0;0;0;0;0;3412;2935;0;7 Ave & Park Pl
0;0;0;0;0;0;0;0;0;5521;4854;0;7 Ave S & Bleecker St
0;0;0;0;0;0;0;0;0;1152;977;0;7 St & 3 Ave
0;0;0;0;0;0;0;0;0;1557;1199;0;7 St & 5 Ave
0;0;0;0;0;0;0;0;0;465;460;0;72 St & 41 Ave
0;0;0;0;0;0;0;0;0;260;215;0;72 St & Woodside Ave
0;0;0;0;0;0;0;0;0;330;223;0;76 St & 21 Ave
0;0;0;0;0;0;0;0;0;9489;7710;0;8 Ave & W 16 St
0;0;0;0;0;0;0;0;0;4138;3262;0;8 Ave & W 24 St
0;0;0;0;0;0;0;0;0;3200;2514;0;8 Ave & W 27 St
0;0;0;0;0;0;0;0;0;8019;6770;0;8 Ave & W 31 St
0;0;0;0;0;0;0;0;0;8385;7727;0;8 Ave & W 33 St
