Station;RoundingTrips
Gary-Carter / St-Laurent;771
18e avenue / Rosemont;770
Centre ÉPIC (St-Zotique / 40e avenue);770
Ste-Claire / Pierre-Tétreault;770
Liébert / Hochelaga;767
Legrand / Laurier;765
Métro Viau (Viau / Pierre-de-Coubertin);760
Argyle / Bannantyne;759
Boucher / St-Denis;758
Durocher / St-Viateur;756
CHU Ste-Justine (de la Côte Ste-Catherine / Hudson);755
Metcalfe / St-Catherine;755
19e avenue / St-Antoine;754
Fullum / de Rouen;753
Marie-Anne / St-Hubert;752
Métro Cartier;747
Métro Radisson (Sherbrooke / des Groseilliers);746
Chabanel / de l'Esplanade;745
Dollard / Bernard;743
St-Charles / Thomas-Keefer;743
Victoria / de Maisonneuve;743
Resther / du Mont-Royal;742
Ellendale / de la Côte-des-Neiges;740
Larivière / de Lorimier;735
Augustin-Cantin / Shearer;734
Bélanger / St-Denis;733
Parc de Dieppe;733
de la Gauchetière / Robert-Bourassa;730
Cartier / Rosemont;728
Wurtele / de Rouen;727
Prince-Arthur / du Parc;726
Sainte-Catherine / Parthenais;724
Bordeaux / Mont-Royal;723
Drummond / Ste-Catherine;722
Garnier / Everett;716
Waverly / St-Viateur;715
2e avenue / Centrale;714
Péloquin / Fleury;712
de Gaspé / Villeray;711
St-Gérard / Villeray;710
Eleanor / Ottawa;704
Métro Jean-Talon (Berri / Jean-Talon);702
Terminus Newman (Airlie / Lafleur);702
19e avenue / St-Zotique;694
Hogan / Ontario;693
LaSalle / 80e avenue;693
8e avenue / Jarry;688
du Mans / des Alouettes;688
Marquette / des Carrières;688
Notre-Dame / de la Montagne;688
Gare Montpellier (Muir / de la Côte-Vertu);686
Parc d'Antioche (Place d'Antioche / St-Zotique);685
1ère  avenue / St-Zotique;684
Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance);682
Gare Bois-de-Boulogne;681
Guy / Sainte-Catherine;678
St-Hubert / René-Lévesque;677
Lajeunesse / de Liège;676
Glengarry / Graham;671
St-Cyril / Wiseman;671
Graham / Kindersley;668
Letourneux / Hochelaga;668
de Melrose / Sherbrooke;666
Gilford / Parthenais;666
de Chenonceau / Chomedey;661
St-Nicolas / Place d'Youville;660
de Normanville / Villeray;659
Alton-Goldbloom / Notre-Dame;653
des Jockeys / Décarie;653
Grand Trunk / d'Hibernia;651
St-Mathieu / Baile;647
Gare d'autocars de Montréal (Berri / Ontario);646
Parc Charleroi (Alfred / Louis-Francoeur);646
Guy / Notre-Dame;645
du Mont-Royal / Augustin-Frigon;644
CIUSSS (du Trianon / Pierre-de-Coubertin);642
René-Lévesque / 9e avenue;642
