Station;StartedTrips
Carroll St & Columbia St;2391
Wyckoff Av & Stanhope St;2390
Bond St & Bergen St;2388
E 115 St & Lexington Ave;2385
India St Pier;2368
Wyckoff Ave & Gates Ave;2363
Kent Ave & Division Ave;2361
Nassau Ave & Newell St;2351
Washington Ave & Greene Ave;2349
Duane St & Hudson St;2343
Fulton St & Irving Pl;2341
E 85 St & York Ave;2328
Dock 72 Way & Market St;2320
Degraw St & Smith St;2316
Harrison St & Hudson St;2315
Warren St & Smith St;2315
7 St & 5 Ave;2309
Dean St & Hoyt St;2280
Cadman Plaza E & Tillary St;2275
St James Pl & Pearl St;2271
Steinway St & 28 Ave;2266
Smith St & 3 St;2262
Kosciuszko St & Tompkins Ave;2251
6 Ave & 21 St;2248
E 106 St & 2 Ave;2247
38 St & 30 Ave;2243
Adam Clayton Powell Blvd & W 138 St;2231
Underhill Ave & Lincoln Pl;2229
Central Park West & W 76 St;2225
E 118 St & 1 Ave;2223
Fulton St & Clermont Ave;2221
Cambridge Pl & Gates Ave;2219
Broadway & Whipple St;2216
Crescent St & 34 Ave;2208
21 Ave & Crescent St;2206
1 Pl & Clinton St;2193
Johnson St & Gold St;2187
Avenue D & E 10 St;2180
Sterling Pl & 5 Ave;2177
Mt Morris Park W & W 120 St;2176
Park Cir & East Dr;2176
Convent Ave & W 135 St;2168
Liberty St & Broadway;2166
Graham Ave & Withers St;2163
31 Ave & Steinway St;2158
Smith St & 9 St;2155
Hancock St & Bedford Ave;2151
N 15 St & Wythe Ave;2143
W 37 St & Broadway;2143
Lefferts Pl & Franklin Ave;2139
St Nicholas Ave & W 134 St;2123
Madison St & Clinton St;2108
10 St & 5 Ave;2106
E 66 St & Madison Ave;2102
21 St & Queens Plaza North;2090
Morningside Ave & W 123 St;2089
Willoughby Ave & Tompkins Ave;2084
W 120 St & Claremont Ave;2083
Columbus Ave & W 103 St;2077
E 102 St & Park Ave;2072
31 Ave & Crescent St;2071
31 Ave & 34 St;2066
Richardson St & N Henry St;2066
St Marks Pl & 4 Ave;2066
E 17 St & 2 Ave;2062
Berkeley Pl & 6 Ave;2060
Amsterdam Ave & W 119 St (2);2052
Clermont Ave & Park Ave;2052
Ashland Pl & Dekalb Ave;2047
Carlton Ave & Flushing Ave;2045
Henry St & Remsen St;2037
Kingston Ave & Herkimer St;2035
Greene Ave & Nostrand Ave;2026
Pierrepont St & Monroe Pl;2025
Eastern Pkwy & Washington Ave;2024
1 St & 6 Ave;2021
N 11 St & Kent Ave;2021
36 Ave & 31 St;2019
6 Ave & 12 St;2018
Prospect Pl & 6 Ave;2016
Union Ave & Jackson St;2015
Lenox Ave & W 130 St;2005
Broadway & Moylan Pl;2004
Madison Ave & E 120 St;2004
E 106 St & 1 Ave;2003
E 118 St & 3 Ave;2003
Cadman Plaza E & Red Cross Pl;1998
34 Ave & 38 St;1997
Warren St & Court St;1997
Broadway & W 122 St;1984
Boerum St & Broadway;1978
Court St & Nelson St;1978
Lincoln Pl & Classon Ave;1978
3 St & 3 Ave;1977
Wards Meadow Comfort Station;1974
5 Ave & W 126 St;1970
Bushwick Ave & Powers St;1963
Liberty St & Nassau St;1956
Melrose St & Broadway;1951
Butler St & Court St;1949
Rogers Ave & Sterling St;1943
Lenox Ave & W 115 St;1942
Pacific St & Nevins St;1926
Halsey St & Tompkins Ave;1924
E 32 St & Park Ave;1922
Greene Ave & Throop Ave;1920
Motorgate;1920
Adam Clayton Powell Blvd & W 115 St;1919
Riverside Dr & W 78 St;1908
Clinton St & 4 Place;1906
McKibbin St & Bogart St;1902
17 St & 5 Ave;1899
Windsor Pl & Howard Pl;1895
Spruce St & Gold St;1876
Wyckoff St & Nevins St;1866
Union St & Bedford Ave;1852
Newtown Ave & 23 St;1851
Degraw St & Hoyt St;1846
Amsterdam Ave & W 125 St;1835
Dock St & Front St;1835
Suydam St & Knickerbocker Ave;1825
Willoughby Ave & Myrtle Ave;1823
Columbia Heights & Cranberry St;1818
Grand Concourse & E 161 St;1804
Lexington Ave & E 120 St;1804
7 St & 3 Ave;1798
E 123 St & Lexington Ave;1796
Edgecombe Ave & W 141 St;1796
Clinton Ave & Flushing Ave;1793
Grand Concourse & E 166 St;1788
Kosciuszko St & Nostrand Ave;1788
35 St & Broadway;1787
Barclay St & Church St;1783
31 Ave & 30 St;1781
Astoria Park S & Shore Blvd;1778
E 98 St & Park Ave;1778
Beaver St & Fayette St;1775
35 Ave & 37 St;1769
Myrtle Ave & St Edwards St;1769
Anthony Ave & E Tremont Ave;1763
E 97 St & 3 Ave;1761
Lenox Ave & W 133 St;1756
Van Brunt St & Wolcott St;1756
5 St & 6 Ave;1732
President St & Henry St;1732
25 Ave & 41 St;1730
Nelson Ave & W 172 St;1728
Leonard St & Boerum St;1720
Lewis Ave & Madison St;1710
Vernon Blvd & 47 Rd;1695
12 St & 4 Ave;1694
E 116 St & 2 Ave;1693
McKibbin St & Manhattan Ave;1692
Adams St & Prospect St;1689
